,country,iso_code,year,co2_per_capita,consumption_co2_per_capita,temperature_change_from_co2,share_global_co2,land_use_change_co2_per_capita,population,gdp,energy_per_capita,renewables_consumption,happiness_index,happiness_index_rank,continent,hemisphere,human_development_groups,hdi_rank_2021,undp_developing_regions,material_footprint_per_capita,gini_index
339,China,CHN,2019,7.526,6.861,0.129,28.888,-0.163,1423520357.0,23631941251482.0,28231.928,5096.059,5.191,93.0,Asia,Northern Hemisphere,High,79.0,EAP,21.96,38.2
340,China,CHN,2020,7.641,6.871,0.134,30.993,-0.185,1426106093.0,24151843898871.0,29095.936,5511.566,5.124,94.0,Asia,Northern Hemisphere,High,79.0,EAP,21.96,37.1
341,China,CHN,2021,7.911,7.072,0.139,30.609,-0.202,1426437269.0,26180600167672.0,30738.947,6170.007,5.339,84.0,Asia,Northern Hemisphere,High,79.0,EAP,21.96,35.7
395,Colombia,COL,2013,1.873,2.262,0.01,0.245,2.9,46151583.0,569534665242.0,10509.707,125.422,6.416,35.0,America,Northern Hemisphere,High,88.0,LAC,9.84,53.5
396,Colombia,COL,2014,1.977,2.43,0.01,0.26,2.028,46565426.0,595158021031.0,10964.914,127.322,6.4465,,America,Northern Hemisphere,High,88.0,LAC,10.2,53.6
397,Colombia,COL,2015,1.938,2.303,0.01,0.257,1.713,46969938.0,612750891790.0,10738.822,126.972,6.477,33.0,America,Northern Hemisphere,High,88.0,LAC,9.69,52.0
398,Colombia,COL,2016,1.931,2.271,0.01,0.259,0.971,47437513.0,625545111723.0,11569.512,131.799,6.481,31.0,America,Northern Hemisphere,High,88.0,LAC,9.37,51.7
399,Colombia,COL,2017,1.734,2.06,0.01,0.232,3.038,48131076.0,634046295892.0,11535.692,157.133,6.357,36.0,America,Northern Hemisphere,High,88.0,LAC,9.0,50.9
400,Colombia,COL,2018,1.852,2.169,0.01,0.247,2.331,49024463.0,650303209362.0,11652.967,156.891,6.26,37.0,America,Northern Hemisphere,High,88.0,LAC,8.81,51.6
401,Colombia,COL,2019,1.983,2.253,0.011,0.267,1.308,49907987.0,671028388046.0,11495.876,151.111,6.125,43.0,America,Northern Hemisphere,High,88.0,LAC,9.09,52.5
402,Colombia,COL,2020,1.823,2.084,0.011,0.263,0.632,50629997.0,622365414246.0,10227.39,138.213,6.163,44.0,America,Northern Hemisphere,High,88.0,LAC,9.09,54.4
403,Colombia,COL,2021,2.027,2.285,0.011,0.281,0.228,51188174.0,690925195330.0,11053.629,165.042,6.012,52.0,America,Northern Hemisphere,High,88.0,LAC,9.09,55.1
458,Cyprus,CYP,2013,5.556,6.44,0.0,0.019,-1.604,1183899.0,24918237857.0,23885.867,1.039,6.466,34.0,Asia,Northern Hemisphere,Very High,29.0,,31.5,37.0
459,Cyprus,CYP,2014,5.766,7.003,0.0,0.02,0.53,1201806.0,24475580582.0,23543.232,0.952,6.077500000000001,,Asia,Northern Hemisphere,Very High,29.0,,32.15,35.6
